coach_id,country_id,cup_id,Coach Name
129,PER,1930,BRU Francisco (ESP)
130,ROU,1930,LUCHIDE Octav (ROU)
131,PER,1930,BRU Francisco (ESP)
132,ROU,1930,LUCHIDE Octav (ROU)
133,PER,1930,BRU Francisco (ESP)
134,ROU,1930,LUCHIDE Octav (ROU)
135,PER,1930,BRU Francisco (ESP)
136,PER,1930,BRU Francisco (ESP)
137,PER,1930,BRU Francisco (ESP)
138,PER,1930,BRU Francisco (ESP)
139,PER,1930,BRU Francisco (ESP)
140,PER,1930,BRU Francisco (ESP)
141,PER,1930,BRU Francisco (ESP)
142,PER,1930,BRU Francisco (ESP)
143,PER,1930,BRU Francisco (ESP)
144,ARG,1930,OLAZAR Francisco (ARG)
145,FRA,1930,CAUDRON Raoul (FRA)
146,ARG,1930,OLAZAR Francisco (ARG)
147,FRA,1930,CAUDRON Raoul (FRA)
148,ARG,1930,OLAZAR Francisco (ARG)
149,FRA,1930,CAUDRON Raoul (FRA)
150,ARG,1930,OLAZAR Francisco (ARG)
151,FRA,1930,CAUDRON Raoul (FRA)
152,ARG,1930,OLAZAR Francisco (ARG)
153,FRA,1930,CAUDRON Raoul (FRA)
154,ARG,1930,OLAZAR Francisco (ARG)
155,FRA,1930,CAUDRON Raoul (FRA)
156,ARG,1930,OLAZAR Francisco (ARG)
157,FRA,1930,CAUDRON Raoul (FRA)
158,ARG,1930,OLAZAR Francisco (ARG)
159,FRA,1930,CAUDRON Raoul (FRA)
160,ARG,1930,OLAZAR Francisco (ARG)
161,FRA,1930,CAUDRON Raoul (FRA)
162,ARG,1930,OLAZAR Francisco (ARG)
163,FRA,1930,CAUDRON Raoul (FRA)
164,ARG,1930,OLAZAR Francisco (ARG)
165,FRA,1930,CAUDRON Raoul (FRA)
166,ARG,1930,OLAZAR Francisco (ARG)
167,FRA,1930,CAUDRON Raoul (FRA)
168,ARG,1930,OLAZAR Francisco (ARG)
169,FRA,1930,CAUDRON Raoul (FRA)
170,ARG,1930,OLAZAR Francisco (ARG)
171,FRA,1930,CAUDRON Raoul (FRA)
172,ARG,1930,OLAZAR Francisco (ARG)
173,FRA,1930,CAUDRON Raoul (FRA)
174,ARG,1930,OLAZAR Francisco (ARG)
175,FRA,1930,CAUDRON Raoul (FRA)
176,ARG,1930,OLAZAR Francisco (ARG)
177,ARG,1930,OLAZAR Francisco (ARG)
178,ARG,1930,OLAZAR Francisco (ARG)
179,ARG,1930,OLAZAR Francisco (ARG)
180,ARG,1930,OLAZAR Francisco (ARG)
181,ARG,1930,OLAZAR Francisco (ARG)
182,CHI,1930,ORTH Gyorgy (HUN)
183,MEX,1930,LUQUE Juan (MEX)
184,CHI,1930,ORTH Gyorgy (HUN)
185,MEX,1930,LUQUE Juan (MEX)
186,CHI,1930,ORTH Gyorgy (HUN)
187,MEX,1930,LUQUE Juan (MEX)
188,CHI,1930,ORTH Gyorgy (HUN)
189,MEX,1930,LUQUE Juan (MEX)
190,CHI,1930,ORTH Gyorgy (HUN)
191,MEX,1930,LUQUE Juan (MEX)
192,CHI,1930,ORTH Gyorgy (HUN)
193,MEX,1930,LUQUE Juan (MEX)
194,CHI,1930,ORTH Gyorgy (HUN)
195,MEX,1930,LUQUE Juan (MEX)
196,CHI,1930,ORTH Gyorgy (HUN)
197,MEX,1930,LUQUE Juan (MEX)
198,CHI,1930,ORTH Gyorgy (HUN)
199,MEX,1930,LUQUE Juan (MEX)
200,CHI,1930,ORTH Gyorgy (HUN)
201,MEX,1930,LUQUE Juan (MEX)
202,CHI,1930,ORTH Gyorgy (HUN)
203,MEX,1930,LUQUE Juan (MEX)
204,CHI,1930,ORTH Gyorgy (HUN)
205,MEX,1930,LUQUE Juan (MEX)
206,CHI,1930,ORTH Gyorgy (HUN)
207,MEX,1930,LUQUE Juan (MEX)
208,CHI,1930,ORTH Gyorgy (HUN)
209,MEX,1930,LUQUE Juan (MEX)
210,CHI,1930,ORTH Gyorgy (HUN)
211,MEX,1930,LUQUE Juan (MEX)
212,CHI,1930,ORTH Gyorgy (HUN)
213,MEX,1930,LUQUE Juan (MEX)
214,CHI,1930,ORTH Gyorgy (HUN)
215,MEX,1930,LUQUE Juan (MEX)
216,CHI,1930,ORTH Gyorgy (HUN)
217,CHI,1930,ORTH Gyorgy (HUN)
218,YUG,1930,SIMONOVIC Bosko (YUG)
219,BOL,1930,SAUCEDO Ulises (BOL)
220,YUG,1930,SIMONOVIC Bosko (YUG)
221,BOL,1930,SAUCEDO Ulises (BOL)
222,YUG,1930,SIMONOVIC Bosko (YUG)
223,BOL,1930,SAUCEDO Ulises (BOL)
224,YUG,1930,SIMONOVIC Bosko (YUG)
225,BOL,1930,SAUCEDO Ulises (BOL)
226,YUG,1930,SIMONOVIC Bosko (YUG)
227,BOL,1930,SAUCEDO Ulises (BOL)
228,YUG,1930,SIMONOVIC Bosko (YUG)
229,BOL,1930,SAUCEDO Ulises (BOL)
230,YUG,1930,SIMONOVIC Bosko (YUG)
231,BOL,1930,SAUCEDO Ulises (BOL)
232,YUG,1930,SIMONOVIC Bosko (YUG)
233,BOL,1930,SAUCEDO Ulises (BOL)
234,YUG,1930,SIMONOVIC Bosko (YUG)
235,BOL,1930,SAUCEDO Ulises (BOL)
236,YUG,1930,SIMONOVIC Bosko (YUG)
237,BOL,1930,SAUCEDO Ulises (BOL)
238,YUG,1930,SIMONOVIC Bosko (YUG)
239,BOL,1930,SAUCEDO Ulises (BOL)
240,YUG,1930,SIMONOVIC Bosko (YUG)
241,BOL,1930,SAUCEDO Ulises (BOL)
242,YUG,1930,SIMONOVIC Bosko (YUG)
243,BOL,1930,SAUCEDO Ulises (BOL)
244,YUG,1930,SIMONOVIC Bosko (YUG)
245,BOL,1930,SAUCEDO Ulises (BOL)
246,YUG,1930,SIMONOVIC Bosko (YUG)
247,BOL,1930,SAUCEDO Ulises (BOL)
248,YUG,1930,SIMONOVIC Bosko (YUG)
249,BOL,1930,SAUCEDO Ulises (BOL)
250,YUG,1930,SIMONOVIC Bosko (YUG)
251,BOL,1930,SAUCEDO Ulises (BOL)
252,USA,1930,MILLAR Bob (USA)
253,PAR,1930,DURAND LAGUNA Jose (ARG)
254,USA,1930,MILLAR Bob (USA)
255,PAR,1930,DURAND LAGUNA Jose (ARG)
256,USA,1930,MILLAR Bob (USA)
257,PAR,1930,DURAND LAGUNA Jose (ARG)
258,USA,1930,MILLAR Bob (USA)
259,PAR,1930,DURAND LAGUNA Jose (ARG)
260,USA,1930,MILLAR Bob (USA)
261,PAR,1930,DURAND LAGUNA Jose (ARG)
262,USA,1930,MILLAR Bob (USA)
263,PAR,1930,DURAND LAGUNA Jose (ARG)
264,USA,1930,MILLAR Bob (USA)
265,PAR,1930,DURAND LAGUNA Jose (ARG)
266,USA,1930,MILLAR Bob (USA)
267,PAR,1930,DURAND LAGUNA Jose (ARG)
268,USA,1930,MILLAR Bob (USA)
269,PAR,1930,DURAND LAGUNA Jose (ARG)
270,USA,1930,MILLAR Bob (USA)
271,PAR,1930,DURAND LAGUNA Jose (ARG)
272,USA,1930,MILLAR Bob (USA)
273,PAR,1930,DURAND LAGUNA Jose (ARG)
274,USA,1930,MILLAR Bob (USA)
275,PAR,1930,DURAND LAGUNA Jose (ARG)
276,USA,1930,MILLAR Bob (USA)
277,PAR,1930,DURAND LAGUNA Jose (ARG)
278,USA,1930,MILLAR Bob (USA)
279,PAR,1930,DURAND LAGUNA Jose (ARG)
280,USA,1930,MILLAR Bob (USA)
281,PAR,1930,DURAND LAGUNA Jose (ARG)
282,USA,1930,MILLAR Bob (USA)
283,PAR,1930,DURAND LAGUNA Jose (ARG)
284,PAR,1930,DURAND LAGUNA Jose (ARG)
285,PAR,1930,DURAND LAGUNA Jose (ARG)
286,PAR,1930,DURAND LAGUNA Jose (ARG)
287,PAR,1930,DURAND LAGUNA Jose (ARG)
288,PAR,1930,DURAND LAGUNA Jose (ARG)
289,PAR,1930,DURAND LAGUNA Jose (ARG)
290,URU,1930,SUPPICI Alberto (URU)
291,PER,1930,BRU Francisco (ESP)
292,URU,1930,SUPPICI Alberto (URU)
293,PER,1930,BRU Francisco (ESP)
294,URU,1930,SUPPICI Alberto (URU)
295,PER,1930,BRU Francisco (ESP)
296,URU,1930,SUPPICI Alberto (URU)
297,PER,1930,BRU Francisco (ESP)
298,URU,1930,SUPPICI Alberto (URU)
299,PER,1930,BRU Francisco (ESP)
300,URU,1930,SUPPICI Alberto (URU)
301,PER,1930,BRU Francisco (ESP)
302,URU,1930,SUPPICI Alberto (URU)
303,PER,1930,BRU Francisco (ESP)
304,URU,1930,SUPPICI Alberto (URU)
305,PER,1930,BRU Francisco (ESP)
306,URU,1930,SUPPICI Alberto (URU)
307,PER,1930,BRU Francisco (ESP)
308,URU,1930,SUPPICI Alberto (URU)
309,PER,1930,BRU Francisco (ESP)
310,URU,1930,SUPPICI Alberto (URU)
311,PER,1930,BRU Francisco (ESP)
312,URU,1930,SUPPICI Alberto (URU)
313,PER,1930,BRU Francisco (ESP)
314,URU,1930,SUPPICI Alberto (URU)
315,PER,1930,BRU Francisco (ESP)
316,URU,1930,SUPPICI Alberto (URU)
317,PER,1930,BRU Francisco (ESP)
318,URU,1930,SUPPICI Alberto (URU)
319,PER,1930,BRU Francisco (ESP)
320,URU,1930,SUPPICI Alberto (URU)
321,PER,1930,BRU Francisco (ESP)
322,URU,1930,SUPPICI Alberto (URU)
323,PER,1930,BRU Francisco (ESP)
324,URU,1930,SUPPICI Alberto (URU)
325,PER,1930,BRU Francisco (ESP)
326,URU,1930,SUPPICI Alberto (URU)
327,PER,1930,BRU Francisco (ESP)
328,URU,1930,SUPPICI Alberto (URU)
329,PER,1930,BRU Francisco (ESP)
330,URU,1930,SUPPICI Alberto (URU)
331,PER,1930,BRU Francisco (ESP)
332,URU,1930,SUPPICI Alberto (URU)
333,PER,1930,BRU Francisco (ESP)
334,PER,1930,BRU Francisco (ESP)
335,CHI,1930,ORTH Gyorgy (HUN)
336,FRA,1930,CAUDRON Raoul (FRA)
337,CHI,1930,ORTH Gyorgy (HUN)
338,FRA,1930,CAUDRON Raoul (FRA)
