MatchID,country_id,Locality
1096.0,FRA,Home
1090.0,USA,Home
1093.0,YUG,Home
1098.0,ROU,Home
1085.0,ARG,Home
1095.0,CHI,Home
1092.0,YUG,Home
1097.0,USA,Home
1099.0,URU,Home
1094.0,CHI,Home
1086.0,ARG,Home
1091.0,BRA,Home
1089.0,PAR,Home
1100.0,URU,Home
1084.0,ARG,Home
1088.0,ARG,Home
1101.0,URU,Home
1087.0,URU,Home
1104.0,AUT,Home
1119.0,HUN,Home
1133.0,SUI,Home
1102.0,SWE,Home
1108.0,GER,Home
1111.0,ESP,Home
1135.0,ITA,Home
1141.0,TCH,Home
1143.0,TCH,Home
1129.0,GER,Home
1122.0,ITA,Home
1106.0,AUT,Home
1123.0,ITA,Home
1107.0,ITA,Home
1130.0,TCH,Home
1105.0,GER,Home
1134.0,ITA,Home
1165.0,SUI,Home
1173.0,HUN,Home
1146.0,FRA,Home
1156.0,CUB,Home
1179.0,ITA,Home
1150.0,BRA,Home
1172.0,TCH,Home
1157.0,CUB,Home
1166.0,SUI,Home
1152.0,BRA,Home
1175.0,HUN,Home
1158.0,SWE,Home
1164.0,ITA,Home
1153.0,BRA,Home
1176.0,HUN,Home
1149.0,ITA,Home
1151.0,BRA,Home
1174.0,ITA,Home
1187.0,BRA,Home
1192.0,ENG,Home
1208.0,ESP,Home
1219.0,SWE,Home
1230.0,YUG,Home
1188.0,BRA,Home
1225.0,YUG,Home
1193.0,ESP,Home
1228.0,SWE,Home
1202.0,USA,Home
1191.0,BRA,Home
1199.0,ESP,Home
1218.0,ITA,Home
1185.0,URU,Home
1222.0,SUI,Home
1194.0,CHI,Home
1207.0,URU,Home
1189.0,BRA,Home
1186.0,BRA,Home
1231.0,URU,Home
1206.0,SWE,Home
1190.0,URU,Home
1315.0,URU,Home
1236.0,AUT,Home
1249.0,BRA,Home
1276.0,YUG,Home
1283.0,GER,Home
1294.0,HUN,Home
1240.0,ENG,Home
1300.0,SUI,Home
1313.0,URU,Home
1238.0,AUT,Home
1275.0,FRA,Home
1252.0,BRA,Home
1277.0,HUN,Home
1304.0,TUR,Home
1263.0,ENG,Home
1243.0,ITA,Home
1284.0,GER,Home
1301.0,SUI,Home
1264.0,URU,Home
1237.0,AUT,Home
1285.0,GER,Home
1248.0,HUN,Home
1233.0,GER,Home
1295.0,HUN,Home
1239.0,AUT,Home
1278.0,GER,Home
1415.0,SWE,Home
1372.0,URS,Home
1323.0,ARG,Home
1407.0,HUN,Home
1386.0,FRA,Home
1434.0,YUG,Home
1326.0,BRA,Home
1421.0,NIR,Home
1339.0,BRA,Home
1418.0,MEX,Home
1423.0,PAR,Home
1388.0,YUG,Home
1332.0,URS,Home
1391.0,GER,Home
1324.0,ARG,Home
1406.0,SWE,Home
1438.0,SWE,Home
1344.0,BRA,Home
1389.0,GER,Home
1403.0,HUN,Home
1426.0,PAR,Home
1387.0,FRA,Home
1327.0,ENG,Home
1325.0,TCH,Home
1373.0,URS,Home
1422.0,NIR,Home
1408.0,WAL,Home
1345.0,BRA,Home
1392.0,GER,Home
1437.0,SWE,Home
1385.0,FRA,Home
1390.0,SWE,Home
1340.0,BRA,Home
1382.0,FRA,Home
1343.0,BRA,Home
1479.0,URU,Home
1461.0,BRA,Home
1447.0,ARG,Home
1473.0,CHI,Home
1563.0,URS,Home
1498.0,TCH,Home
1490.0,HUN,Home
1507.0,GER,Home
1564.0,YUG,Home
1462.0,BRA,Home
1450.0,ENG,Home
1472.0,CHI,Home
1478.0,URS,Home
1497.0,ESP,Home
1470.0,HUN,Home
1510.0,GER,Home
1562.0,URS,Home
1460.0,BRA,Home
1451.0,HUN,Home
1471.0,GER,Home
1480.0,YUG,Home
1544.0,MEX,Home
1464.0,ENG,Home
1532.0,ITA,Home
1474.0,CHI,Home
1459.0,BRA,Home
1525.0,TCH,Home
1511.0,YUG,Home
1559.0,TCH,Home
1458.0,BRA,Home
1475.0,CHI,Home
1463.0,BRA,Home
1636.0,ENG,Home
1656.0,GER,Home
1596.0,BRA,Home
1710.0,URS,Home
1650.0,FRA,Home
1675.0,POR,Home
1578.0,ARG,Home
1608.0,ITA,Home
1653.0,URU,Home
1641.0,ESP,Home
1597.0,HUN,Home
1609.0,PRK,Home
1602.0,POR,Home
1579.0,GER,Home
1682.0,URS,Home
1634.0,ENG,Home
1689.0,URU,Home
1582.0,ARG,Home
1598.0,POR,Home
1679.0,PRK,Home
1632.0,ENG,Home
1599.0,HUN,Home
1637.0,GER,Home
1610.0,URS,Home
1577.0,ENG,Home
1660.0,GER,Home
1676.0,URS,Home
1702.0,POR,Home
1659.0,GER,Home
1635.0,ENG,Home
1709.0,POR,Home
1633.0,ENG,Home
1902.0,MEX,Home
1881.0,URU,Home
1780.0,PER,Home
1812.0,ENG,Home
1883.0,ITA,Home
1839.0,GER,Home
1770.0,BRA,Home
1747.0,BEL,Home
1884.0,URU,Home
1893.0,PER,Home
1919.0,ROU,Home
1753.0,URS,Home
1880.0,SWE,Home
1774.0,GER,Home
1764.0,BRA,Home
1820.0,MEX,Home
1922.0,SWE,Home
1840.0,GER,Home
1769.0,BRA,Home
1823.0,URS,Home
1877.0,ITA,Home
1779.0,BUL,Home
1813.0,ENG,Home
1752.0,MEX,Home
1882.0,ITA,Home
1811.0,GER,Home
1768.0,BRA,Home
1925.0,URU,Home
1771.0,BRA,Home
1838.0,ITA,Home
1843.0,GER,Home
1765.0,BRA,Home
1986.0,BRA,Home
2003.0,GER,Home
1955.0,GDR,Home
2176.0,ZAI,Home
2098.0,URU,Home
1995.0,SWE,Home
2083.0,ITA,Home
1952.0,POL,Home
1954.0,AUS,Home
1985.0,SCO,Home
2004.0,CHI,Home
2186.0,YUG,Home
2097.0,NED,Home
1996.0,BUL,Home
2085.0,HAI,Home
1949.0,ARG,Home
2175.0,SCO,Home
1953.0,AUS,Home
1987.0,ZAI,Home
2062.0,GDR,Home
1990.0,BUL,Home
1947.0,ARG,Home
2181.0,SWE,Home
2129.0,POL,Home
2066.0,YUG,Home
1982.0,BRA,Home
1948.0,NED,Home
2167.0,SWE,Home
1945.0,ARG,Home
2170.0,POL,Home
2067.0,GDR,Home
2065.0,GER,Home
2064.0,POL,Home
1983.0,NED,Home
1946.0,ARG,Home
2182.0,SWE,Home
1984.0,BRA,Home
2063.0,NED,Home
2351.0,GER,Home
2347.0,ITA,Home
2433.0,TUN,Home
2199.0,ARG,Home
2253.0,SWE,Home
2216.0,AUT,Home
2451.0,PER,Home
2388.0,NED,Home
2396.0,ITA,Home
2454.0,POL,Home
2350.0,GER,Home
2197.0,ARG,Home
2246.0,BRA,Home
2224.0,AUT,Home
2408.0,SCO,Home
2394.0,NED,Home
2344.0,FRA,Home
2431.0,POL,Home
2352.0,GER,Home
2200.0,ITA,Home
2215.0,BRA,Home
2337.0,ESP,Home
2405.0,PER,Home
2395.0,SCO,Home
2349.0,GER,Home
2220.0,NED,Home
2251.0,BRA,Home
2202.0,ARG,Home
2450.0,POL,Home
2221.0,ITA,Home
2348.0,GER,Home
2196.0,ARG,Home
2391.0,NED,Home
2217.0,AUT,Home
2252.0,BRA,Home
2201.0,ARG,Home
2247.0,BRA,Home
2198.0,ARG,Home
749.0,ARG,Home
995.0,ITA,Home
791.0,BRA,Home
833.0,PER,Home
896.0,HUN,Home
1051.0,SCO,Home
741.0,GER,Home
878.0,ENG,Home
901.0,ESP,Home
764.0,CHI,Home
1012.0,TCH,Home
1044.0,YUG,Home
994.0,ITA,Home
752.0,ARG,Home
790.0,BRA,Home
834.0,POL,Home
774.0,BEL,Home
1054.0,URS,Home
813.0,GER,Home
889.0,ENG,Home
903.0,ESP,Home
739.0,ALG,Home
919.0,FRA,Home
959.0,HON,Home
1055.0,POL,Home
779.0,BEL,Home
1071.0,URS,Home
828.0,ITA,Home
751.0,ARG,Home
789.0,BRA,Home
740.0,ALG,Home
922.0,FRA,Home
962.0,HON,Home
770.0,GER,Home
882.0,ENG,Home
902.0,NIR,Home
767.0,AUT,Home
782.0,POL,Home
753.0,ITA,Home
879.0,GER,Home
771.0,AUT,Home
783.0,BEL,Home
750.0,ARG,Home
900.0,GER,Home
920.0,FRA,Home
1058.0,POL,Home
788.0,ITA,Home
877.0,ESP,Home
996.0,POL,Home
914.0,GER,Home
921.0,POL,Home
923.0,ITA,Home
459.0,BUL,Home
468.0,CAN,Home
439.0,ESP,Home
610.0,URS,Home
395.0,ARG,Home
674.0,MAR,Home
379.0,ALG,Home
428.0,BEL,Home
538.0,POR,Home
628.0,PAR,Home
517.0,SCO,Home
585.0,URU,Home
394.0,ITA,Home
571.0,FRA,Home
460.0,KOR,Home
475.0,HUN,Home
377.0,BRA,Home
533.0,ENG,Home
551.0,NIR,Home
680.0,MEX,Home
701.0,POL,Home
427.0,IRQ,Home
522.0,DEN,Home
580.0,GER,Home
567.0,HUN,Home
476.0,URS,Home
643.0,KOR,Home
389.0,ARG,Home
429.0,PAR,Home
627.0,IRQ,Home
675.0,POR,Home
537.0,ENG,Home
441.0,NIR,Home
378.0,ALG,Home
712.0,SCO,Home
512.0,DEN,Home
432.0,URS,Home
463.0,MEX,Home
398.0,ARG,Home
444.0,BRA,Home
568.0,ITA,Home
574.0,MAR,Home
536.0,ENG,Home
511.0,DEN,Home
440.0,BRA,Home
575.0,GER,Home
421.0,ESP,Home
392.0,ARG,Home
564.0,FRA,Home
388.0,ARG,Home
422.0,FRA,Home
393.0,ARG,Home
26.0,ARG,Home
342.0,URS,Home
119.0,UAE,Home
42.0,ITA,Home
355.0,USA,Home
75.0,BRA,Home
201.0,GER,Home
127.0,CRC,Home
161.0,ENG,Home
57.0,BEL,Home
151.0,NED,Home
180.0,URU,Home
30.0,ARG,Home
108.0,CMR,Home
120.0,YUG,Home
265.0,ITA,Home
43.0,AUT,Home
198.0,GER,Home
73.0,BRA,Home
348.0,SWE,Home
160.0,ENG,Home
152.0,IRL,Home
175.0,KOR,Home
66.0,BEL,Home
29.0,ARG,Home
111.0,CMR,Home
114.0,GER,Home
364.0,YUG,Home
263.0,ITA,Home
48.0,AUT,Home
74.0,BRA,Home
128.0,SWE,Home
290.0,KOR,Home
56.0,BEL,Home
228.0,IRL,Home
150.0,ENG,Home
102.0,CMR,Home
129.0,TCH,Home
25.0,BRA,Home
196.0,GER,Home
248.0,IRL,Home
264.0,ITA,Home
181.0,ESP,Home
55.0,ENG,Home
31.0,YUG,Home
