country_id,cup_id,coach_id,Name
ITA,1970,130,VALCAREGGI Ferruccio (ITA)
SWE,1970,131,BERGMARK Orvar (SWE)
GER,1970,132,SCHOEN Helmut (FRG)
MAR,1970,133,VIDINIC Blagoje (YUG)
BRA,1970,134,ZAGALLO Mario (BRA)
TCH,1970,135,MARKO Jozef (TCH)
BEL,1970,136,GOETHALS Raymond (BEL)
SLV,1970,137,CARRASCO Hernan (CHI)
BRA,1974,138,ZAGALLO Mario (BRA)
YUG,1974,139,MILJANIC Miljan (SRB)
GER,1974,140,SCHOEN Helmut (FRG)
CHI,1974,141,ALAMOS Luis (CHI)
GDR,1974,142,BUSCHNER Georg (GER)
AUS,1974,143,RASIC Rale (YUG)
ZAI,1974,144,VIDINIC Blagoje (YUG)
SCO,1974,145,ORMOND Willie (SCO)
URU,1974,146,PORTA Roberto (URU)
NED,1974,147,MICHELS Rinus (NED)
SWE,1974,148,ERICSON Georg (SWE)
BUL,1974,149,MLADENOV Hristo (BUL)
ITA,1974,150,VALCAREGGI Ferruccio (ITA)
HAI,1974,151,TASSY Antoine (HAI)
POL,1974,152,GORSKI Kazimierz (POL)
ARG,1974,153,CAP Vladislao (ARG)
GER,1978,154,SCHOEN Helmut (FRG)
POL,1978,155,GMOCH Jacek (POL)
ITA,1978,156,BEARZOT Enzo (ITA)
FRA,1978,157,HIDALGO Michel (FRA)
TUN,1978,158,CHETALI Abdelmajid (TUN)
MEX,1978,159,ROCA Jose (MEX)
ARG,1978,160,MENOTTI Cesar Luis (ARG)
HUN,1978,161,BAROTI Lajos (HUN)
SWE,1978,162,ERICSON Georg (SWE)
BRA,1978,163,COUTINHO Claudio (BRA)
AUT,1978,164,SENEKOWITSCH Helmut (AUT)
ESP,1978,165,KUBALA Ladislao (ESP)
PER,1978,166,CALDERON Marcos (PER)
SCO,1978,167,MacLEOD Alistair (SCO)
NED,1978,168,HAPPEL Ernst (AUT)
IRN,1978,169,MOHADJERANI Heshmat (IRN)
ARG,1982,170,MENOTTI Cesar Luis (ARG)
BEL,1982,171,THYS Guy (BEL)
ITA,1982,172,BEARZOT Enzo (ITA)
POL,1982,173,PIECHNICZEK Antoni (POL)
BRA,1982,174,SANTANA Tele (BRA)
URS,1982,175,BESKOV Konstantin (RUS)
PER,1982,176,TIM (BRA)
CMR,1982,177,VINCENT Jean (FRA)
HUN,1982,178,MESZOLY Kalman (HUN)
SLV,1982,179,RODRIGUEZ Mauricio (SLV)
SCO,1982,180,STEIN Jock (SCO)
NZL,1982,181,ADSHEAD John (NZL)
GER,1982,182,DERWALL Jupp (GER)
ALG,1982,183,MEKHLOUFI Rachid (ALG)
ENG,1982,184,GREENWOOD Ron (ENG)
FRA,1982,185,HIDALGO Michel (FRA)
ESP,1982,186,SANTAMARIA Jose (URU)
HON,1982,187,DE LA PAZ Jose (HON)
CHI,1982,188,SANTIBANEZ Luis Alberto (CHI)
AUT,1982,189,SCHMIDT Georg (AUT)
TCH,1982,190,VENGLOS Jozef (SVK)
KUW,1982,191,PARREIRA Carlos Alberto (BRA)
YUG,1982,192,MILJANIC Miljan (SRB)
NIR,1982,193,BINGHAM Billy (NIR)
BUL,1986,194,VUTSOV Ivan (BUL)
ITA,1986,195,BEARZOT Enzo (ITA)
CAN,1986,196,WAITERS Tony (ENG)
FRA,1986,197,MICHEL Henri (FRA)
ESP,1986,198,MUNOZ Miguel (ESP)
BRA,1986,199,SANTANA Tele (BRA)
URS,1986,200,LOBANOVSKYI Valeriy (UKR)
HUN,1986,201,MEZEY Gyorgy (HUN)
ARG,1986,202,BILARDO Carlos (ARG)
KOR,1986,203,KIM Jung Nam (KOR)
MAR,1986,204,FARIA Jose (BRA)
POL,1986,205,PIECHNICZEK Antoni (POL)
ALG,1986,206,SAADANE Rabah (ALG)
NIR,1986,207,BINGHAM Billy (NIR)
BEL,1986,208,THYS Guy (BEL)
MEX,1986,209,MILUTINOVIC Bora (YUG)
POR,1986,210,JOSE TORRES (POR)
ENG,1986,211,ROBSON Bobby (ENG)
PAR,1986,212,RE Cayetano (PAR)
IRQ,1986,213,EVARISTO (BRA)
SCO,1986,214,FERGUSON Alex (SCO)
DEN,1986,215,PIONTEK Sepp (GER)
URU,1986,216,BORRAS Omar (URU)
GER,1986,217,BECKENBAUER Franz (GER)
ARG,1990,218,BILARDO Carlos (ARG)
CMR,1990,219,NEPOMNYASHCHI Valeri (RUS)
URS,1990,220,LOBANOVSKYI Valeriy (UKR)
ROU,1990,221,JENEI Emerich (ROU)
UAE,1990,222,PARREIRA Carlos Alberto (BRA)
COL,1990,223,MATURANA Francisco (COL)
ITA,1990,224,VICINI Azeglio (ITA)
AUT,1990,225,HICKERSBERGER Josef (AUT)
USA,1990,226,GANSLER Bob (USA)
TCH,1990,227,VENGLOS Jozef (SVK)
BRA,1990,228,LAZARONI Sebastiao (BRA)
SWE,1990,229,NORDIN Olle (SWE)
GER,1990,230,BECKENBAUER Franz (GER)
YUG,1990,231,OSIM Ivica (BIH)
CRC,1990,232,MILUTINOVIC Bora (YUG)
SCO,1990,233,ROXBURGH Andy (SCO)
ENG,1990,234,ROBSON Bobby (ENG)
IRL,1990,235,CHARLTON Jack (ENG)
BEL,1990,236,THYS Guy (BEL)
KOR,1990,237,LEE Hoe Taik (KOR)
NED,1990,238,BEENHAKKER Leo (NED)
EGY,1990,239,EL GOHARY Mahmoud (EGY)
URU,1990,240,TABAREZ Oscar (URU)
ESP,1990,241,SUAREZ Luis (ESP)
ESP,1994,242,CLEMENTE Javier (ESP)
KOR,1994,243,KIM Ho Kon (KOR)
GER,1994,244,VOGTS Berti (GER)
BOL,1994,245,Xavier AZKARGORTA URIARTE (ESP)
USA,1994,246,MILUTINOVIC Bora (YUG)
SUI,1994,247,Roy HODGSON (ENG)
ITA,1994,248,SACCHI Arrigo (ITA)
IRL,1994,249,CHARLTON Jack (ENG)
COL,1994,250,MATURANA Francisco (COL)
ROU,1994,251,IORDANESCU Anghel (ROU)
BEL,1994,252,VAN HIMST Paul (BEL)
MAR,1994,253,BLINDA Abdellah (MAR)
NOR,1994,254,OLSEN Egil (NOR)
MEX,1994,255,BARON Miguel Mejia (MEX)
CMR,1994,256,MICHEL Henri (FRA)
SWE,1994,257,SVENSSON Tommy (SWE)
NED,1994,258,Dick ADVOCAAT (NED)
KSA,1994,259,SOLARI Jorge (ARG)
BRA,1994,260,PARREIRA Carlos Alberto (BRA)
RUS,1994,261,SADYRIN Pavel (RUS)
ARG,1994,262,BASILE Alfio (ARG)
GRE,1994,263,PANAGOULIAS Alkis (GRE)
NGA,1994,264,WESTERHOF Clemens (NED)
BUL,1994,265,PENEV Dimitar (BUL)
BRA,1998,266,ZAGALLO Mario (BRA)
SCO,1998,267,BROWN Craig (SCO)
MAR,1998,268,MICHEL Henri (FRA)
NOR,1998,269,OLSEN Egil (NOR)
ITA,1998,270,MALDINI Cesare (ITA)
CHI,1998,271,ACOSTA Nelson (URU)
CMR,1998,272,LE ROY Claude (FRA)
AUT,1998,273,PROHASKA Herbert (AUT)
PAR,1998,274,CARPEGIANI (BRA)
BUL,1998,275,BONEV Hristo (BUL)
KSA,1998,276,PARREIRA Carlos Alberto (BRA)
DEN,1998,277,JOHANSSON Bo (SWE)
FRA,1998,278,JACQUET Aime (FRA)
RSA,1998,279,TROUSSIER Philippe (FRA)
ESP,1998,280,CLEMENTE Javier (ESP)
NGA,1998,281,MILUTINOVIC Bora (YUG)
KOR,1998,282,CHA Bum Kun (KOR)
MEX,1998,283,LAPUENTE Manuel (MEX)
NED,1998,284,HIDDINK Guus (NED)
BEL,1998,285,LEEKENS Georges (BEL)
ARG,1998,286,PASSARELLA Daniel (ARG)
JPN,1998,287,OKADA Takeshi (JPN)
YUG,1998,288,SANTRAC Slobodan (SRB)
IRN,1998,289,TALEBI Jalal (IRN)
JAM,1998,290,SIMOES Rene (BRA)
CRO,1998,291,BLAZEVIC Miroslav (BIH)
ENG,1998,292,HODDLE Glenn (ENG)
TUN,1998,293,KASPERCZAK Henryk (POL)
ROU,1998,294,IORDANESCU Anghel (ROU)
COL,1998,295,GOMEZ Hernan (COL)
GER,1998,296,VOGTS Berti (GER)
USA,1998,297,SAMPSON Steve (USA)
KSA,1998,298,AL KARASHI Mohamed (KSA)
KOR,1998,299,KIM Pyung Seok (KOR)
TUN,1998,300,SELMI Ali (TUN)
FRA,2002,301,LEMERRE Roger (FRA)
SEN,2002,302,METSU Bruno (FRA)
URU,2002,303,PUA Victor (URU)
DEN,2002,304,OLSEN Morten (DEN)
IRL,2002,305,MC CARTHY Mick (IRL)
CMR,2002,306,SCHAEFER Winni (GER)
GER,2002,307,VOELLER Rudi (GER)
KSA,2002,308,AL JOHAR Nasser (KSA)
ARG,2002,309,BIELSA Marcelo (ARG)
NGA,2002,310,ONIGBINDE Adegboye (NGA)
PAR,2002,311,MALDINI Cesare (ITA)
RSA,2002,312,SONO Jomo (RSA)
ENG,2002,313,Sven-G�ran ERIKSSON (SWE)
SWE,2002,314,SODERBERG Tommy (SWE)
ESP,2002,315,CAMACHO Jose Antonio (ESP)
SVN,2002,316,KATANEC Srecko (SVN)
BRA,2002,317,SCOLARI Luiz Felipe (BRA)
TUR,2002,318,GUNES Senol (TUR)
ITA,2002,319,TRAPATTONI Giovanni (ITA)
ECU,2002,320,GOMEZ Hernan (COL)
CRO,2002,321,JOZIC Mirko (CRO)
MEX,2002,322,Javier AGUIRRE (MEX)
CHN,2002,323,MILUTINOVIC Bora (YUG)
CRC,2002,324,GUIMARAES Alexandre (CRC)
JPN,2002,325,TROUSSIER Philippe (FRA)
BEL,2002,326,WASEIGE Robert (BEL)
KOR,2002,327,HIDDINK Guus (NED)
POL,2002,328,ENGEL Jerzy (POL)
RUS,2002,329,ROMANTSEV Oleg (RUS)
TUN,2002,330,SOUAYAH Ammar (TUN)
USA,2002,331,ARENA Bruce (USA)
POR,2002,332,OLIVEIRA Antonio (POR)
SVN,2002,333,POPIVODA Danilo (SVN)
GER,2006,334,J�rgen KLINSMANN (GER)
CRC,2006,335,GUIMARAES Alexandre (CRC)
POL,2006,336,JANAS Pawel (POL)
ECU,2006,337,SUAREZ Luis (COL)
ENG,2006,338,Sven-G�ran ERIKSSON (SWE)
PAR,2006,339,RUIZ LEITES Anibal (URU)
TRI,2006,340,BEENHAKKER Leo (NED)
SWE,2006,341,Lars LAGERB�CK (SWE)
ARG,2006,342,Jos� P�KERMAN (ARG)
CIV,2006,343,MICHEL Henri (FRA)
SCG,2006,344,PETKOVIC Ilija (SCG)
NED,2006,345,VAN BASTEN Marco (NED)
MEX,2006,346,LA VOLPE Ricardo (ARG)
IRN,2006,347,IVANKOVIC Branko (CRO)
ANG,2006,348,GONCALVES Luis (ANG)
POR,2006,349,SCOLARI Luiz Felipe (BRA)
AUS,2006,350,HIDDINK Guus (NED)
JPN,2006,351,ZICO (BRA)
USA,2006,352,ARENA Bruce (USA)
CZE,2006,353,BRUCKNER Karel (CZE)
ITA,2006,354,LIPPI Marcello (ITA)
GHA,2006,355,DUJKOVIC Ratomir (SRB)
KOR,2006,356,Dick ADVOCAAT (NED)
TOG,2006,357,PFISTER Otto (GER)
FRA,2006,358,DOMENECH Raymond (FRA)
SUI,2006,359,KUHN Koebi (SUI)
BRA,2006,360,PARREIRA Carlos Alberto (BRA)
CRO,2006,361,KRANJCAR Zlatko (CRO)
ESP,2006,362,ARAGONES Luis (ESP)
UKR,2006,363,BLOKHIN Oleg (UKR)
TUN,2006,364,LEMERRE Roger (FRA)
KSA,2006,365,MARCOS PAQUETA (BRA)
RSA,2010,366,PARREIRA Carlos Alberto (BRA)
MEX,2010,367,Javier AGUIRRE (MEX)
URU,2010,368,TABAREZ Oscar (URU)
FRA,2010,369,DOMENECH Raymond (FRA)
KOR,2010,370,HUH Jungmoo (KOR)
GRE,2010,371,REHHAGEL Otto (GER)
ARG,2010,372,MARADONA Diego (ARG)
NGA,2010,373,LAGERBACK Lars (SWE)
ENG,2010,374,CAPELLO Fabio (ITA)
USA,2010,375,Bob BRADLEY (USA)
ALG,2010,376,SAADANE Rabah (ALG)
SVN,2010,377,KEK Matjaz (SVN)
SRB,2010,378,ANTIC Radomir (SRB)
GHA,2010,379,RAJEVAC Milovan (SRB)
GER,2010,380,LOEW Joachim (GER)
AUS,2010,381,VERBEEK Pim (NED)
NED,2010,382,Bert VAN MARWIJK (NED)
DEN,2010,383,OLSEN Morten (DEN)
JPN,2010,384,OKADA Takeshi (JPN)
CMR,2010,385,Paul LE GUEN (FRA)
ITA,2010,386,LIPPI Marcello (ITA)
PAR,2010,387,MARTINO Gerardo (ARG)
NZL,2010,388,HERBERT Ricki (NZL)
SVK,2010,389,WEISS Vladimir (SVK)
CIV,2010,390,ERIKSSON Sven Goran (SWE)
POR,2010,391,Carlos QUEIR�S (POR)
BRA,2010,392,DUNGA (BRA)
PRK,2010,393,KIM Jong Hun (PRK)
HON,2010,394,MENDOZA Alexis (COL)
CHI,2010,395,Marcelo BIELSA (ARG)
ESP,2010,396,DEL BOSQUE Vicente (ESP)
SUI,2010,397,HITZFELD Ottmar (GER)
HON,2010,398,RUEDA Reinaldo (COL)
BRA,2014,399,SCOLARI Luiz Felipe (BRA)
CRO,2014,400,KOVAC Niko (CRO)
MEX,2014,401,HERRERA Miguel (MEX)
CMR,2014,402,Volker FINKE (GER)
ESP,2014,403,DEL BOSQUE Vicente (ESP)
NED,2014,404,Louis VAN GAAL (NED)
CHI,2014,405,SAMPAOLI Jorge (ARG)
AUS,2014,406,POSTECOGLOU Ange (AUS)
COL,2014,407,PEKERMAN Jose (ARG)
GRE,2014,408,SANTOS Fernando (POR)
URU,2014,409,TABAREZ Oscar (URU)
CRC,2014,410,PINTO Jorge Luis (COL)
ENG,2014,411,HODGSON Roy (ENG)
ITA,2014,412,Cesare PRANDELLI (ITA)
CIV,2014,413,LAMOUCHI Sabri (FRA)
JPN,2014,414,ZACCHERONI Alberto (ITA)
SUI,2014,415,HITZFELD Ottmar (GER)
ECU,2014,416,RUEDA Reinaldo (COL)
FRA,2014,417,DESCHAMPS Didier (FRA)
HON,2014,418,SUAREZ Luis (COL)
ARG,2014,419,SABELLA Alejandro (ARG)
BIH,2014,420,SUSIC Safet (BIH)
GER,2014,421,LOEW Joachim (GER)
POR,2014,422,PAULO BENTO (POR)
IRN,2014,423,Carlos QUEIR�S (POR)
NGA,2014,424,KESHI Stephen (NGA)
GHA,2014,425,APPIAH James (GHA)
USA,2014,426,KLINSMANN Juergen (GER)
BEL,2014,427,WILMOTS Marc (BEL)
ALG,2014,428,HALILHODZIC Vahid (BIH)
RUS,2014,429,CAPELLO Fabio (ITA)
KOR,2014,430,HONG Myungbo (KOR)
