cup_id,country_id,Place
1990,NED,Non-Finalist
1990,URU,Non-Finalist
1990,CMR,Non-Finalist
1990,URS,Non-Finalist
1990,AUT,Non-Finalist
1990,SWE,Non-Finalist
1990,IRL,Non-Finalist
1990,KOR,Non-Finalist
1990,ESP,Non-Finalist
1990,UAE,Non-Finalist
1994,ESP,Non-Finalist
1994,GER,Non-Finalist
1994,USA,Non-Finalist
1994,COL,Non-Finalist
1994,BEL,Non-Finalist
1994,NOR,Non-Finalist
1994,ARG,Non-Finalist
1994,NED,Non-Finalist
1994,GRE,Non-Finalist
1994,NGA,Non-Finalist
1994,ROU,Non-Finalist
1994,ITA,Second
1994,BUL,Fourth
1994,BRA,Winner
1994,SWE,Third
1994,KOR,Non-Finalist
1994,MEX,Non-Finalist
1994,KSA,Non-Finalist
1994,SUI,Non-Finalist
1994,BOL,Non-Finalist
1994,CMR,Non-Finalist
1994,MAR,Non-Finalist
1994,RUS,Non-Finalist
1994,IRL,Non-Finalist
1998,BRA,Second
1998,MEX,Non-Finalist
1998,DEN,Non-Finalist
1998,BUL,Non-Finalist
1998,AUT,Non-Finalist
1998,NOR,Non-Finalist
1998,NED,Fourth
1998,FRA,Winner
1998,IRN,Non-Finalist
1998,CRO,Third
1998,TUN,Non-Finalist
1998,JAM,Non-Finalist
1998,ARG,Non-Finalist
1998,JPN,Non-Finalist
1998,NGA,Non-Finalist
1998,RSA,Non-Finalist
1998,CHI,Non-Finalist
1998,SCO,Non-Finalist
1998,GER,Non-Finalist
1998,USA,Non-Finalist
1998,ROU,Non-Finalist
1998,MAR,Non-Finalist
1998,ITA,Non-Finalist
1998,CMR,Non-Finalist
1998,PAR,Non-Finalist
1998,KSA,Non-Finalist
1998,ESP,Non-Finalist
1998,KOR,Non-Finalist
1998,ENG,Non-Finalist
1998,COL,Non-Finalist
1998,BEL,Non-Finalist
1998,YUG,Non-Finalist
2002,RSA,Non-Finalist
2002,SWE,Non-Finalist
2002,CMR,Non-Finalist
2002,DEN,Non-Finalist
2002,USA,Non-Finalist
2002,RUS,Non-Finalist
2002,JPN,Non-Finalist
2002,CHN,Non-Finalist
2002,CRO,Non-Finalist
2002,POR,Non-Finalist
2002,URU,Non-Finalist
2002,ESP,Non-Finalist
2002,ENG,Non-Finalist
2002,TUN,Non-Finalist
2002,PAR,Non-Finalist
2002,TUR,Third
2002,GER,Second
2002,BRA,Winner
2002,KOR,Fourth
2002,ARG,Non-Finalist
2002,IRL,Non-Finalist
2002,FRA,Non-Finalist
2002,ITA,Non-Finalist
2002,SEN,Non-Finalist
2002,MEX,Non-Finalist
2002,BEL,Non-Finalist
2002,POL,Non-Finalist
2002,ECU,Non-Finalist
2002,CRC,Non-Finalist
2002,NGA,Non-Finalist
2002,KSA,Non-Finalist
2002,SVN,Non-Finalist
2006,TUN,Non-Finalist
2006,ESP,Non-Finalist
2006,BRA,Non-Finalist
2006,KOR,Non-Finalist
2006,USA,Non-Finalist
2006,AUS,Non-Finalist
2006,ANG,Non-Finalist
2006,SCG,Non-Finalist
2006,ECU,Non-Finalist
2006,TRI,Non-Finalist
2006,ENG,Non-Finalist
2006,POL,Non-Finalist
2006,MEX,Non-Finalist
2006,ARG,Non-Finalist
2006,SUI,Non-Finalist
2006,TOG,Non-Finalist
2006,UKR,Non-Finalist
2006,CRO,Non-Finalist
2006,GHA,Non-Finalist
2006,CIV,Non-Finalist
2006,IRN,Non-Finalist
2006,PAR,Non-Finalist
2006,CRC,Non-Finalist
2006,KSA,Non-Finalist
2006,NED,Non-Finalist
2006,SWE,Non-Finalist
2006,CZE,Non-Finalist
2006,GER,Third
2006,POR,Fourth
2006,ITA,Winner
2006,FRA,Second
2006,JPN,Non-Finalist
2010,GER,Third
2010,URU,Fourth
2010,NED,Second
2010,ESP,Winner
2010,GRE,Non-Finalist
2010,SVN,Non-Finalist
2010,PAR,Non-Finalist
2010,AUS,Non-Finalist
2010,USA,Non-Finalist
2010,NGA,Non-Finalist
2010,MEX,Non-Finalist
2010,CHI,Non-Finalist
2010,POR,Non-Finalist
2010,SVK,Non-Finalist
2010,CMR,Non-Finalist
2010,GHA,Non-Finalist
2010,SUI,Non-Finalist
2010,DEN,Non-Finalist
2010,FRA,Non-Finalist
2010,BRA,Non-Finalist
2010,CIV,Non-Finalist
2010,NZL,Non-Finalist
2010,ITA,Non-Finalist
2010,JPN,Non-Finalist
2010,SRB,Non-Finalist
2010,ALG,Non-Finalist
2010,ENG,Non-Finalist
2010,ARG,Non-Finalist
2010,KOR,Non-Finalist
2010,RSA,Non-Finalist
2010,HON,Non-Finalist
2010,PRK,Non-Finalist
2014,ALG,Non-Finalist
2014,POR,Non-Finalist
2014,MEX,Non-Finalist
2014,ARG,Second
2014,ECU,Non-Finalist
2014,BIH,Non-Finalist
2014,GRE,Non-Finalist
2014,CRC,Non-Finalist
2014,CRO,Non-Finalist
2014,USA,Non-Finalist
2014,KOR,Non-Finalist
2014,NGA,Non-Finalist
2014,HON,Non-Finalist
2014,ITA,Non-Finalist
2014,JPN,Non-Finalist
2014,CMR,Non-Finalist
2014,ESP,Non-Finalist
2014,AUS,Non-Finalist
2014,GHA,Non-Finalist
2014,IRN,Non-Finalist
2014,FRA,Non-Finalist
2014,SUI,Non-Finalist
2014,CIV,Non-Finalist
2014,ENG,Non-Finalist
2014,URU,Non-Finalist
2014,COL,Non-Finalist
2014,CHI,Non-Finalist
2014,BRA,Fourth
2014,NED,Third
2014,GER,Winner
2014,RUS,Non-Finalist
2014,BEL,Non-Finalist
